City,Time,Temperature,Condition

2022-04-08 15:00:00, 10.49, overcast clouds
2022-04-08 18:00:00, 12.9, overcast clouds
2022-04-08 21:00:00, 15.72, overcast clouds
2022-04-04 00:00:00, 7.13, light rain
2022-04-04 03:00:00, 6.26, broken clouds
2022-04-04 06:00:00, 4.78, scattered clouds
2022-04-04 09:00:00, 3.84, few clouds
2022-04-04 12:00:00, 4.71, few clouds
2022-04-04 15:00:00, 8.07, clear sky
2022-04-04 18:00:00, 11.29, scattered clouds
2022-04-04 21:00:00, 11.16, overcast clouds
2022-04-05 00:00:00, 9.54, overcast clouds
2022-04-05 03:00:00, 8.15, overcast clouds
2022-04-05 06:00:00, 7.63, overcast clouds
2022-04-05 09:00:00, 6.96, broken clouds
2022-04-05 12:00:00, 7.6, overcast clouds
2022-04-05 15:00:00, 10.49, overcast clouds
2022-04-05 18:00:00, 11.22, overcast clouds
2022-04-05 21:00:00, 10.38, overcast clouds
2022-04-06 00:00:00, 9.44, light rain
2022-04-06 03:00:00, 9.33, light rain
2022-04-06 06:00:00, 9.13, moderate rain
2022-04-06 09:00:00, 8.71, moderate rain
2022-04-06 12:00:00, 8.91, light rain
2022-04-06 15:00:00, 10.36, overcast clouds
2022-04-06 18:00:00, 9.79, light rain
2022-04-06 21:00:00, 9.89, overcast clouds
2022-04-07 00:00:00, 9.27, overcast clouds
2022-04-07 03:00:00, 9.04, overcast clouds
2022-04-07 06:00:00, 8.93, overcast clouds
2022-04-07 09:00:00, 8.51, overcast clouds
2022-04-07 12:00:00, 8.77, light rain
2022-04-07 15:00:00, 10.26, light rain
2022-04-07 18:00:00, 11.28, moderate rain
2022-04-07 21:00:00, 11.3, light rain
2022-04-08 00:00:00, 11.19, light rain
2022-04-08 03:00:00, 11.28, light rain
2022-04-08 06:00:00, 10.42, overcast clouds
2022-04-08 09:00:00, 9.49, few clouds
2022-04-08 12:00:00, 10.1, clear sky
2022-04-08 15:00:00, 14.34, few clouds
2022-04-08 18:00:00, 16.07, scattered clouds
2022-04-08 21:00:00, 14.92, broken clouds
